file	best_BER	alpha	block_size	num_bits
2035-147960-0010.flac	0.000	0.01	(16, 16)	4
2035-147960-0011.flac	0.000	0.01	(32, 32)	4
2035-147960-0012.flac	0.250	0.01	(8, 8)	8
2035-147960-0013.flac	0.125	0.1	(16, 16)	8
2035-147960-0014.flac	0.125	0.01	(32, 32)	8
2035-147960-0015.flac	0.250	0.01	(8, 8)	4
2035-147960-0016.flac	0.000	0.2	(16, 16)	4
2035-147961-0000.flac	0.000	0.05	(8, 8)	4
2035-147961-0001.flac	0.125	0.01	(8, 8)	8
2035-147961-0002.flac	0.000	0.01	(32, 32)	4
2035-147961-0003.flac	0.250	0.01	(8, 8)	4
2035-147961-0004.flac	0.000	0.05	(16, 16)	4
2035-147961-0005.flac	0.000	0.01	(8, 8)	4
2035-147961-0006.flac	0.250	0.01	(8, 8)	8
2035-147961-0007.flac	0.250	0.01	(32, 32)	4
2035-147961-0008.flac	0.000	0.1	(8, 8)	4
2035-147961-0009.flac	0.000	0.2	(16, 16)	4
2035-147961-0010.flac	0.250	0.01	(8, 8)	8
2035-147961-0011.flac	0.000	0.2	(16, 16)	4
2035-147961-0012.flac	0.250	0.05	(16, 16)	8
2035-147961-0013.flac	0.250	0.05	(8, 8)	4
2035-147961-0014.flac	0.000	0.1	(16, 16)	4
2035-147961-0015.flac	0.250	0.01	(32, 32)	4
2035-147961-0016.flac	0.125	0.05	(8, 8)	8
2035-147961-0017.flac	0.000	0.01	(8, 8)	4
2035-147961-0018.flac	0.000	0.1	(16, 16)	8
2035-147961-0019.flac	0.000	0.01	(8, 8)	4
2035-147961-0020.flac	0.000	0.05	(16, 16)	4
2035-147961-0021.flac	0.125	0.1	(16, 16)	8
2035-147961-0022.flac	0.125	0.05	(16, 16)	8
2035-147961-0023.flac	0.250	0.05	(8, 8)	8
2035-147961-0024.flac	0.188	0.05	(8, 8)	16
2035-147961-0025.flac	0.250	0.01	(8, 8)	8
2035-147961-0026.flac	0.125	0.2	(8, 8)	8
2035-147961-0027.flac	0.250	0.01	(16, 16)	8
2035-147961-0028.flac	0.125	0.01	(32, 32)	8
2035-147961-0029.flac	0.250	0.05	(8, 8)	4
2035-147961-0030.flac	0.000	0.1	(32, 32)	4
2035-147961-0031.flac	0.125	0.01	(16, 16)	8
2035-147961-0032.flac	0.125	0.01	(32, 32)	8
2035-147961-0033.flac	0.000	0.05	(8, 8)	4
2035-147961-0034.flac	0.250	0.01	(16, 16)	4
2035-147961-0035.flac	0.000	0.1	(8, 8)	4
2035-147961-0036.flac	0.250	0.01	(16, 16)	4
2035-147961-0037.flac	0.250	0.01	(16, 16)	4
2035-147961-0038.flac	0.000	0.2	(32, 32)	4
2035-147961-0039.flac	0.250	0.01	(8, 8)	4
2035-147961-0040.flac	0.000	0.05	(32, 32)	4
2035-152373-0000.flac	0.125	0.05	(8, 8)	16
2035-152373-0001.flac	0.250	0.05	(16, 16)	8
2035-152373-0002.flac	0.000	0.01	(8, 8)	4
2035-152373-0003.flac	0.125	0.01	(8, 8)	8
2035-152373-0004.flac	0.125	0.01	(32, 32)	8
2035-152373-0005.flac	0.250	0.01	(8, 8)	4
2035-152373-0006.flac	0.250	0.1	(16, 16)	4
2035-152373-0007.flac	0.250	0.01	(8, 8)	8
2035-152373-0008.flac	0.125	0.2	(16, 16)	8
2035-152373-0009.flac	0.188	0.01	(8, 8)	16
2035-152373-0010.flac	0.000	0.1	(8, 8)	4
2035-152373-0011.flac	0.000	0.2	(16, 16)	4
2035-152373-0012.flac	0.250	0.01	(8, 8)	4
2035-152373-0013.flac	0.000	0.2	(32, 32)	4
2035-152373-0014.flac	0.000	0.05	(32, 32)	4
2035-152373-0015.flac	0.000	0.01	(16, 16)	4
2035-152373-0016.flac	0.250	0.01	(8, 8)	4
2035-152373-0017.flac	0.000	0.05	(8, 8)	4
2035-152373-0018.flac	0.125	0.1	(16, 16)	8
2412-153948-0000.flac	0.125	0.01	(8, 8)	8
2412-153948-0000_watermarked.flac	0.000	0.05	(8, 8)	4
2412-153948-0001.flac	0.000	0.05	(8, 8)	4
2412-153948-0002.flac	0.000	0.01	(32, 32)	4
2412-153948-0003.flac	0.250	0.01	(8, 8)	4
2412-153948-0004.flac	0.250	0.01	(32, 32)	4
2412-153948-0005.flac	0.000	0.01	(8, 8)	4
2412-153948-0006.flac	0.000	0.01	(16, 16)	4
2412-153948-0007.flac	0.000	0.05	(8, 8)	4
2412-153948-0008.flac	0.000	0.1	(16, 16)	4
2412-153948-0009.flac	0.000	0.01	(32, 32)	4
2412-153948-0010.flac	0.000	0.05	(32, 32)	4
2412-153948-0011.flac	0.000	0.05	(16, 16)	4
2412-153948-0012.flac	0.250	0.01	(8, 8)	4
2412-153948-0013.flac	0.250	0.01	(16, 16)	4
2412-153948-0014.flac	0.000	0.01	(32, 32)	4
2412-153948-0015.flac	0.000	0.05	(32, 32)	4
2428-83699-0000.flac	0.000	0.01	(8, 8)	4
2428-83699-0001.flac	0.250	0.01	(8, 8)	4
2428-83699-0002.flac	0.125	0.05	(16, 16)	8
2428-83699-0003.flac	0.125	0.1	(8, 8)	8
2428-83699-0004.flac	0.000	0.01	(16, 16)	4
2428-83699-0005.flac	0.000	0.01	(16, 16)	4
2428-83699-0006.flac	0.125	0.01	(16, 16)	8
2428-83699-0007.flac	0.000	0.01	(8, 8)	4
2428-83699-0008.flac	0.000	0.05	(32, 32)	4
2428-83699-0009.flac	0.000	0.01	(8, 8)	4
2428-83699-0010.flac	0.000	0.1	(8, 8)	4
2428-83699-0011.flac	0.125	0.1	(32, 32)	8
2428-83699-0012.flac	0.000	0.05	(8, 8)	4
2428-83699-0013.flac	0.000	0.05	(16, 16)	4
2428-83699-0014.flac	0.000	0.2	(32, 32)	4
2428-83699-0015.flac	0.000	0.05	(8, 8)	4
2428-83699-0016.flac	0.000	0.05	(16, 16)	4
2428-83699-0017.flac	0.250	0.01	(16, 16)	4
2428-83699-0018.flac	0.000	0.01	(16, 16)	4
2428-83699-0019.flac	0.000	0.2	(8, 8)	4
2428-83699-0020.flac	0.188	0.1	(32, 32)	16
2428-83699-0021.flac	0.000	0.05	(16, 16)	4
2428-83699-0022.flac	0.000	0.01	(32, 32)	4
2428-83699-0023.flac	0.188	0.2	(8, 8)	16
2428-83699-0024.flac	0.000	0.1	(8, 8)	4
2428-83699-0025.flac	0.000	0.2	(8, 8)	4
2428-83699-0026.flac	0.000	0.2	(32, 32)	4
2428-83699-0027.flac	0.250	0.1	(8, 8)	8
2428-83699-0028.flac	0.250	0.05	(16, 16)	8
2428-83699-0029.flac	0.125	0.01	(16, 16)	8
2428-83699-0030.flac	0.125	0.05	(8, 8)	8
2428-83699-0031.flac	0.000	0.01	(16, 16)	4
2428-83699-0032.flac	0.000	0.01	(8, 8)	4
2428-83699-0033.flac	0.250	0.01	(8, 8)	4
2428-83699-0034.flac	0.000	0.2	(8, 8)	4
2428-83699-0035.flac	0.250	0.01	(8, 8)	4
2428-83699-0036.flac	0.250	0.1	(8, 8)	4
2428-83699-0037.flac	0.125	0.05	(16, 16)	8
2428-83699-0038.flac	0.000	0.01	(16, 16)	4
2428-83699-0039.flac	0.000	0.2	(32, 32)	4
2428-83699-0040.flac	0.250	0.01	(16, 16)	4
